ID,Name,IsTestObject,Active,WindMult,SolarMult,Latitude,Longitude,FuelOnly,IsSpecialHydroelectric,ERHRegionID,WAPRegionID,ImprovementCostLevel,OriginalImprovementCostLevel,WeatherID,DegreeDays,AverageTemperature,DesignTemperature,WindSpeed,Elevation,FuelRefer,FuelCityID,Oil1Price,Oil2Price,PropanePrice,BirchPrice,SprucePrice,WoodPelletsPrice,CoalPrice,SteamPrice,HotWaterPrice,MunicipalSalesTax,BoroughSalesTax,Notes
1,Anchorage,0,1,0.91,1,61.15196,-149.8641,0,0,2,2,1,1,2,,,,,100,0,,3.36,,6.48,300,300,,175,,,,,"Weather and Location Data. fuel costs from 7/2021 ; Weather info in Weather database - DO NOT ENTER HERE, Oil prices from Petrolane and Denali Fuel for 300 gallons delivered ; Propane is average for delivered to those with own tank and those who rent tank, new and existing customer, and amt ordered."
2,Adak,0,1,1.33,0.98,51.848896,-176.635422,0,0,2,3,5,5,16,,,,,200,0,,4.73,4.73,,,,,,,,0.04,,"Weather and Location Data. Weather info in Weather database - DO NOT ENTER HERE; oil prices from 7/2021"
3,Akutan,0,1,1,0.97,54.1349449,-165.772446,0,0,2,3,5,5,16,,,,,100,0,,,2.55,,,,,,,,,,"Weather and Location Data. fuel costs from  7/2021  HDD, Temp, Elev from AEIDCClimatological Summary, 1986-87, dT and wind from nearest: Cold Bay;"
4,Allakaket,0,1,1,1.08,66.5613861,-152.649445,0,0,4,4,5,5,7,,,,,400,0,,7,7,12.92,,,,,,,,,"Weather and Location Data. fuel costs from 7/2021; HDD, Temp, Elev from AEIDCClimatological Summary, 1922-82; wind and dT from nearest :Bettles,"
5,Angoon,0,1,1,0.94,57.4966469,-134.5789,0,0,1,1,3,3,42,,,,,100,0,,4.15,,6.23,,,,,,,0.03,,"Weather and Location Data. fuel costs from 7/2021 ; wind from WERA map class, weather from AEIDC summary 1941-87, dT from nearest Juneau;"
6,Aniak,0,1,0.55,0.88,61.5779037,-159.546753,0,0,4,6,3,3,6,,,,,100,0,,6.05,,,,,,,,,0.02,,"Fuel costs from 7/2021; m/s from WERA, weather from AEIDC summary 1922-76,85-87;"
8,"Arctic Village",0,1,1,1.27,68.12287,-145.536972,0,0,6,5,5,5,7,,,,,2100,0,,12,,12.71,,,,,,,,,"Fuel price from 7/2021; HDD, Temp, Elev from AEIDCClimatological Summary, 1962-72;87, wind from WERA map class,dT from nearest: Bettles;"
9,Atka,0,1,1.07,1.39,52.2155876,-174.20517,0,0,2,3,5,5,16,,,,,0,0,,7.5,,,,,,,,,,,"Fuel costs from 7/2021; dbTemp, Elev from AEIDCClimatological Summary, 1923-28;36-49; wind from nearest - Adak; oil from 6/08 survey Atka Native Store"
11,"Auke Bay",0,1,1,1,58.3830032,-134.661453,0,0,1,1,1,1,4,,,,,0,0,292,3.1,3.12,3.4,,,,,,,,0.05,"Fuel costs from  7/2021; HDD, Temp, Elev from AEIDC Climatological Summary, 1963-87dT and wind from Juneau"
12,Barrow/Utqiavik,0,1,0.84,1,71.29736,-156.751846,0,0,6,5,4,4,5,,,,,0,0,,,,3.95,,,,,,,,,"Natural gas for heat; Weather info in Weather database - DO NOT ENTER HERE;"
13,Bethel,0,1,1,1,60.7944679,-161.803955,0,0,4,4,3,3,6,,,,,0,0,,3.73,,8.2,300,350,,,,,0.06,," Fuel costs from  7/2021, except fire wood; Weather info in Weather database - DO NOT ENTER HERE;"
14,Bettles,0,1,1,1,66.9148254,-151.518265,0,0,4,4,4,4,7,,,,,600,0,,7.45,,,,,,,,,,,"Oct 2016 Weather and Location Data. fuel costs from 8/2020 ;  Weather info in Weather database - DO NOT ENTER HERE"
15,"Delta Junction",0,1,1,1,64.0555344,-145.728577,0,0,4,4,3,3,8,,,,,1100,0,,2.93,,4.02,,,,,,,,,"Oct 2016 Weather and Location Data. fuel costs from 7/2021; HDD, Temp, Elev from AEIDCClimatological Summary, 1942-87; wind m/s from WERA; dT from BEES;   Propane is average price of thise with own tanks an with rentals"
16,"Big Lake",0,1,1,1.02,61.54496,-149.855164,0,0,2,2,1,1,50,,,,,200,0,,2.09,,6.48,,,,,,,,," Fuel costs from  1/2021; HDD, Temp, Elev from AEIDCClimatological Summary, 1973-78; wind nearest - Talkeetna; oil costs from Fisher's Fuel;     Propane is average for delivered to those with own tank and those who rent tank, new and existing customer, and amt ordered."
19,Cantwell,0,1,1,0.82,63.39879,-148.886169,0,0,4,4,3,3,8,,,,,2200,0,,3.46,,6.48,,,,,,,,,"Weather and Location Data. fuel costs from  7/2021; HDD, Temp, Elev from AEIDCClimatological Summary, 1983-87; wind from WERA map class;  Propane is average for delivered to those with own tank and those who rent tank, new and existing customer, and amt ordered."
21,Central,0,1,1,1.12,65.51122,-144.690018,0,0,4,4,3,3,38,,,,,900,0,,3.6,,6.48,,,,,,,,,"Oct 2016 Weather and Location Data. Fuel costs from  7/2021; HDD, Temp, Elev from AEIDCClimatological Summary, 1947-54, wind from WERA map class"
22,Chalkyitsik,0,1,1,0.87,66.65167,-143.727478,0,0,4,4,4,4,17,,,,,500,0,161,8,,8.47,,,,,,,,,"Oct 2016 Weather and Location Data. fuel costs from  7/2021; HDD, Temp, Elev from AEIDCClimatological Summary, 1962-72, wind and dT from nearest: Ft. Yukon;"
26,Chickaloon,0,1,1,0.99,61.7831078,-148.535187,0,0,2,2,2,2,44,,,,,1100,0,,2.8,,3.61,,,,,,,,,"Oct 2016 Weather and Location Data. fuel costs from 7/2021; Temp, Elev from AEIDCClimatological Summary, 1922-33; wind from WERA map class, HDD from nearest (Sutton) modified for altitude; oil from Fisher's Fuel (Big Lake), propane from Mat Valley Propane"
